2000 5 4
0.000000 0.000002 0.037318 0.000013
-0.000000 0.000395 0.002417 0.023973
0.000000 0.001652 0.009522 0.003480
-0.000000 0.001572 0.039760 0.096075
-0.000000 0.003182 0.599854 0.216318
-0.000000 0.000018 0.001598 0.000186
0.000000 0.000000 0.003318 0.000069
0.000000 0.000000 0.001692 0.000001
-0.000000 0.000000 0.052089 0.000266
0.000000 0.000001 0.912018 0.000694
-0.000000 0.000000 0.029844 0.000007
0.000000 0.000000 0.000003 0.000000
0.000000 0.000000 0.005501 0.000001
-0.000000 0.000001 0.062919 0.000084
-0.000000 0.000000 0.026593 0.000005
0.000000 0.000004 0.904832 0.000058
-0.000000 0.064907 0.034686 0.000971
-0.000000 0.156343 0.078761 0.000081
-0.000000 0.048322 0.106801 0.000728
-0.000000 0.026130 0.430389 0.000438
-0.000000 0.005786 0.045643 0.000015
-0.000000 0.000060 0.000678 0.035317
-0.000000 0.004220 0.044759 0.085919
-0.000000 0.000652 0.030348 0.385209
0.000000 0.000404 0.140067 0.265325
-0.000000 0.000026 0.004357 0.002658
-0.000000 0.006342 0.004377 0.036033
-0.000000 0.009032 0.005877 0.001782
0.000000 0.035210 0.100514 0.201541
0.000000 0.019174 0.407916 0.122064
-0.000000 0.004120 0.041973 0.004045
-0.000000 0.004447 0.008281 0.096910
0.000000 0.031442 0.055186 0.023792
0.000000 0.018910 0.145614 0.415102
-0.000000 0.001689 0.096931 0.041238
0.000000 0.001875 0.051523 0.007060
-0.000000 0.000624 0.000005 0.000000
0.000000 0.707027 0.005026 0.000000
0.000000 0.134754 0.004203 0.000000
-0.000000 0.119548 0.027785 0.000000
0.000000 0.000926 0.000103 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.005631 0.079519 0.011133
-0.000000 0.006829 0.423058 0.391654
-0.000000 0.000038 0.017336 0.002395
0.000000 0.000269 0.059491 0.002647
-0.000000 0.000000 0.000000 0.165913
-0.000000 0.000000 0.000001 0.040732
0.000000 0.000000 0.000002 0.710664
0.000000 0.000000 0.000001 0.070600
0.000000 0.000000 0.000001 0.012087
-0.000000 0.000001 0.000003 0.000001
-0.000000 0.001217 0.005348 0.000079
-0.000000 0.003174 0.061170 0.005987
0.000000 0.000180 0.025853 0.000378
0.000000 0.012788 0.879683 0.004139
-0.000000 0.006205 0.574132 0.000134
-0.000000 0.000008 0.000704 0.000000
-0.000000 0.000202 0.077335 0.000004
-0.000000 0.000118 0.337585 0.000003
0.000000 0.000003 0.003568 0.000000
0.000000 0.001923 0.001652 0.025069
-0.000000 0.036570 0.029613 0.016557
0.000000 0.008477 0.030116 0.111343
0.000000 0.017468 0.462461 0.255167
-0.000000 0.000225 0.002855 0.000507
0.000000 0.000000 0.000095 0.032252
0.000000 0.000001 0.000395 0.004948
0.000000 0.000001 0.002635 0.218516
0.000000 0.000002 0.055253 0.683690
0.000000 0.000000 0.000444 0.001770
0.000000 0.000548 0.002563 0.065599
0.000000 0.000780 0.003441 0.003244
0.000000 0.003040 0.058852 0.366917
0.000000 0.001655 0.238840 0.222225
0.000000 0.000356 0.024576 0.007365
0.000000 0.032046 0.023406 0.165777
-0.000000 0.077191 0.053147 0.013866
-0.000000 0.023858 0.072068 0.124332
-0.000000 0.012901 0.290422 0.074774
0.000000 0.002857 0.030799 0.002554
0.000000 0.000000 0.000000 0.000000
0.000000 0.001839 0.070712 0.007301
0.000000 0.000149 0.025050 0.017102
-0.000000 0.000208 0.261328 0.026626
0.000000 0.000947 0.570032 0.018706
0.000000 0.000004 0.000112 0.008784
-0.000000 0.001411 0.038674 0.111452
-0.000000 0.000233 0.028020 0.533929
0.000000 0.000080 0.071589 0.203582
-0.000000 0.000003 0.001110 0.001017
0.000000 0.000001 0.000003 0.000000
-0.000000 0.002743 0.005286 0.000000
-0.000000 0.007151 0.060465 0.000017
0.000000 0.000406 0.025556 0.000001
-0.000000 0.028814 0.869546 0.000012
-0.000000 0.012132 0.014777 0.126133
-0.000000 0.057400 0.065904 0.020723
0.000000 0.016860 0.084929 0.176586
0.000000 0.005554 0.208498 0.064696
-0.000000 0.007018 0.126180 0.012610
0.000000 0.971355 0.000050 0.000000
0.000000 0.007611 0.000000 0.000000
0.000000 0.012810 0.000003 0.000000
0.000000 0.006943 0.000011 0.000000
-0.000000 0.001216 0.000001 -0.000000
-0.000000 0.000017 0.000486 0.040779
-0.000000 0.000803 0.021924 0.067712
0.000000 0.000293 0.035094 0.716682
0.000000 0.000032 0.028695 0.087456
0.000000 0.000000 0.000014 0.000013
0.000000 0.000000 0.000022 0.000000
-0.000000 0.001248 0.064124 0.000002
0.000000 0.000339 0.076500 0.000016
0.000000 0.000510 0.856745 0.000026
0.000000 0.000001 0.000468 0.000000
0.000000 0.000000 0.000091 0.971656
0.000000 -0.000000 0.000000 0.000016
-0.000000 0.000000 0.000009 0.023488
0.000000 0.000000 0.000011 0.004248
-0.000000 0.000000 0.000004 0.000477
0.000000 0.000003 0.000038 0.006508
0.000000 0.000064 0.000665 0.004203
-0.000000 0.000162 0.007375 0.308216
-0.000000 0.000273 0.092831 0.578983
-0.000000 0.000001 0.000225 0.000452
0.000000 0.091027 0.424098 0.161595
0.000000 0.000118 0.000520 0.000007
-0.000000 0.002965 0.057126 0.005302
-0.000000 0.001737 0.249366 0.003454
-0.000000 0.000038 0.002635 0.000012
0.000000 0.000000 0.000025 0.978650
0.000000 0.000000 0.000000 0.000266
-0.000000 0.000000 0.000001 0.013001
-0.000000 0.000000 0.000006 0.007837
0.000000 0.000000 0.000000 0.000212
-0.000000 0.006130 0.077470 0.873889
0.000000 0.000048 0.000572 0.000238
0.000000 0.000081 0.004225 0.011610
